title,date,year,venue,type,cited_by_count,co-authors
Late-life restoration of mitochondrial function reverses cardiac dysfunction in old mice,2020-07-10,2020,eLife,article,134,Ying Ann Chiao; Huiliang Zhang; Mariya T. Sweetwyne; Jeremy Whitson; Ying S. Ting; Nathan Basisty; Lindsay K. Pino; Ellen Quarles; Ngoc-Han Nguyen; Matthew D. Campbell; Tong Zhang; Matthew Gaffrey; Gennifer E. Merrihew; Lu Wang; Yongping Yue; Dongsheng Duan; Henk Granzier; Hazel H. Szeto; Weijun Qian; David J. Marcinek; Michael J. MacCoss; Peter S. Rabinovitch
Acquiring and Analyzing Data Independent Acquisition Proteomics Experiments without Spectrum Libraries,2020-04-20,2020,Molecular & Cellular Proteomics,article,321,Lindsay K. Pino; Seth Just; Michael J. MacCoss; Brian C. Searle
Matrix-Matched Calibration Curves for Assessing Analytical Figures of Merit in Quantitative Proteomics,2020-02-10,2020,Journal of Proteome Research,article,82,Lindsay K. Pino; Brian C. Searle; Han-Yin Yang; Andrew N. Hoofnagle; William Stafford Noble; Michael J. MacCoss
Highly Parallel Quantification and Compartment Localization of Transcription Factors and Nuclear Proteins,2020-02-01,2020,Cell Reports,article,44,Alexander Federation; Vivek Nandakumar; Brian C. Searle; Andrew B. Stergachis; Hao Wang; Lindsay K. Pino; Gennifer E. Merrihew; Ying S. Ting; Nicholas P. Howard; Tanya Kutyavin; Michael J. MacCoss; J Stamatoyannopoulos
Team COUNCIL OF RICKS submission for EUPA YPIC 2017,2019-10-16,2019,EuPA Open Proteomics,article,0,Lindsay K. Pino; Brian C. Searle; Han-Yin Yang
2018 YPIC Challenge: A Case Study in Characterizing an Unknown Protein Sample,2019-09-26,2019,Journal of Proteome Research,article,7,Lindsay K. Pino; Andy Lin; Wout Bittremieux
Chromatogram libraries improve peptide detection and quantification by data independent acquisition mass spectrometry,2018-12-03,2018,Nature Communications,article,595,Brian C. Searle; Lindsay K. Pino; Jarrett D. Egertson; Ying S. Ting; Robert Lawrence; Brendan MacLean; Judit Villén; Michael J. MacCoss
Calibration Using a Single-Point External Reference Material Harmonizes Quantitative Mass Spectrometry Proteomics Data between Platforms and Laboratories,2018-10-11,2018,Analytical Chemistry,article,37,Lindsay K. Pino; Brian C. Searle; Eric Huang; William Stafford Noble; Andrew N. Hoofnagle; Michael J. MacCoss
Nonlinear Regression Improves Accuracy of Characterization of Multiplexed Mass Spectrometric Assays,2018-02-12,2018,Molecular & Cellular Proteomics,article,26,Cyril Galitzine; Jarrett D. Egertson; Susan E. Abbatiello; Clark M. Henderson; Lindsay K. Pino; Michael J. MacCoss; Andrew N. Hoofnagle; Olga Vitek
The Skyline ecosystem: Informatics for quantitative mass spectrometry proteomics,2017-07-09,2017,Mass Spectrometry Reviews,article,896,Lindsay K. Pino; Brian C. Searle; James G. Bollinger; Brook L. Nunn; Brendan MacLean; Michael J. MacCoss
Reduced-representation Phosphosignatures Measured by Quantitative Targeted MS Capture Cellular States and Enable Large-scale Comparison of Drug-induced Phenotypes,2016-05-01,2016,Molecular & Cellular Proteomics,article,103,Jennifer G. Abelin; Jinal Patel; Xiaodong Lü; Caitlin M. Feeney; Lọla Fagbami; Amanda L. Creech; Roger Hu; Daniel D. Lam; Desiree Davison; Lindsay K. Pino; Jana Qiao; Eric Kuhn; Adam Officer; Jianxue Li; Susan E. Abbatiello; Aravind Subramanian; Richard L. Sidman; Evan Snyder; Steven A. Carr; Jacob D. Jaffe
